Isolation type;Isolation source;Host;Source type;Host disease;Ambiguity;Code;Foodex2
;;;;;False;0ROOT;ROOT
clinical;;homo sapiens;human;;False;HUMAN;Human
;ascites by plating;epinephelus coioides;;;False;A0FAS;Groupers
;seafood corb shell;;;;False;A029R;Marine fish
clinical;stool;homo sapiens;;;False;HUMAN;Human
environmental other;oyster;;;;False;A02HG;Oysters
;big eye fish;;;;False;A02AG;Miscellaneous demersal marine fishes
;salmon sashimi;;;;False;A03XM#F28.A07HS;Seafood-based meals 
clinical;oyster;homo sapiens;;;False;HUMAN;Human
clinical;stool;homo sapiens;human;;False;HUMAN;Human
clinical;stool;homo sapiens;human;;False;HUMAN;Human
;water;;;;False;A0C5Y;Environment
;seafood;;;;False;A0EZQ;Seafood and products thereof
clinical;water;;;;False;A0C5Y;Environment
clinical;wound;homo sapiens;human;;False;HUMAN;Human
environmental other;environment;;environmental;;False;A0C5Y;Environment
environmental other;oyster;;food;;False;A02HG;Oysters
clinical;ear;homo sapiens;human;;False;HUMAN;Human
environmental other;clam;;food;;False;A02HA;Clams
environmental other;environment gulf coast;;environmental;;False;WATER;Seawater
environmental other;;;;;False;A0C5Y;Environment
environmental other;sediment;;;;False;A0C5Y;Environment
environmental other;ems ahpnd diseased hepatopancreas;penaeus vannamei;;;False;A02GA;White shrimp
environmental other;shrimp pond;;;;False;A0F7H#F01.A02FX;Stillwater (ponds, lakes, swamps etc)
;shrimp pond sediment;;;;False;A0F7H#F01.A02FX;Stillwater (ponds, lakes, swamps etc)
clinical;;homo sapiens;;;False;HUMAN;Human
clinical;blood;homo sapiens;;;False;HUMAN;Human
;sea water;;;;False;WATER;Seawater
clinical;water sample;;;;False;A0C5Y;Environment
clinical;oyster sample;;;;False;A02HG;Oysters
clinical;stool sample;homo sapiens;;gastroenteritis;False;HUMAN;Human
clinical;plankton sample;;;;False;A02FM;Krill, planktonic crustaceans
clinical;clinical sample;homo sapiens;;vibrio gastroenteritis;False;HUMAN;Human
clinical;not collected;homo sapiens;;gastroenteritis;False;HUMAN;Human
;marine sediment;;;;False;A0C5Y;Environment
clinical;clinical patient;homo sapiens;;;False;HUMAN;Human
clinical;;;;gastroenteritis;False;HUMAN;Human
;vibriosis episode;dentex dentex;;;False;A0FAX;Dentex
clinical;;homo sapiens;;gastroenteritis;False;HUMAN;Human
;vibriosis episode;sparus aurata;;;False;A029V;Sea bream
;aquaculture environment;seriola dumerili;;;False;A07RV#F01.A0QAC;Farmed / cultivated / aquaculture
environmental other;oysters;;;;False;A02HG;Oysters
clinical;clinical patient;homo sapiens;;applicable;False;HUMAN;Human
environmental other;environmental;environment;;;False;A0C5Y;Environment
environmental other;;finespotted flounder;;;False;A02AT;Flounders
environmental other;mollusc;;;;False;A02GM;Molluscs
environmental other;seafood;;;;False;A0EZQ;Seafood and products thereof
environmental other;canada;;;;False;A0C5Y;Environment
environmental other;mollusk;;;;False;A02GM;Molluscs
environmental other;clam;;;;False;A02HA;Clams
environmental other;mussel;;;;False;A02HF;Mussels
environmental other;imported shrimp;;;;False;A02FX;Shrimps and prawns
clinical;human with diarrhea assosiated with seafood cunsumption hospital general;homo sapiens;;seafood comsumption associated diarrhea;False;HUMAN;Human
clinical;human with diarrhea assosiated with seafood cunsumption pacific ocean coast northern chile;homo sapiens;;seafood comsumption associated diarrhea;False;HUMAN;Human
environmental other;shrimp;;;;False;A02FX;Shrimps and prawns
;sea water;epinephelus coioides;;;False;WATER#F01.A02BV;Groupers
environmental other;cutting board;;;;False;A0C5Y;Environment
;seagrass sediment;;;;False;A0C5Y;Environment
environmental other;aquarium water;;;;False;A07RV;Farmed / cultivated / aquaculture
;seawater;;;;False;WATER;Seawater
environmental other;spoiled horse mackerel causing food poisoning;;;;False;A02CN#STALE;Horse mackerels
clinical;human;homo sapiens;;vibrio infection;False;HUMAN;Human
environmental other;sea food;;;;False;A03XM;Seafood-based meals
environmental other;seawater;environment;;;False;WATER;Seawater
clinical;stool;homo sapiens;;diarrhea;False;HUMAN;Human
environmental other;shirasu;environment;;;False;A02DA;Sardines and sardine-type fishes
clinical;clinical sample from patient with gastroenteritis;homo sapiens;;gastroenteritis;False;HUMAN;Human
;culture;;;;False;0ROOT;ROOT
;mucus of coral;danafungia horrida;;;False;A0C5Y;Environment
clinical;clinical sample from patient with gastroenteritis;homo sapiens;;vibrio gastroenteritis;False;HUMAN;Human
clinical;foot wound from diabetic patient;homo sapiens;;;False;HUMAN;Human
;;toothfish;;;False;A029T;Sea bass
;;epinephelus coioides;;;False;A0FAS;Groupers
clinical;stool;;;gastroenteritis;False;HUMAN;Human
clinical;stool;;;gastroenteritis;False;HUMAN;Human
;filtered seawater micron fraction;;;;False;WATER;Seawater
clinical;stool;homo sapiens;human;gastroenteritis;False;HUMAN;Human
clinical;stool;homo sapiens;human;gastroenteritis;False;HUMAN;Human
clinical;;oysters;;;False;A02HG;Oysters
;;shrimps;;;False;A02FX;Shrimps and prawns
;;mytilus edulis;;;False;A02HF;Mussels
clinical;stool;homo sapiens;;gastroenteritis;False;HUMAN;Human
clinical;;;;;False;HUMAN;Human
clinical;patient;homo sapiens;;;False;HUMAN;Human
;;clam;;;False;A02HA;Clams
environmental other;;penaeus sp;;;False;A02FX;Shrimps and prawns
environmental other;crab marinated in soy sauce;;;;False;A02FD#F28.A07JT;Crustaceans
environmental other;sea bass;;;;False;A029T;Sea bass
clinical;clinical;homo sapiens;;gastroenteritis;False;HUMAN;Human
;;oyster;;;False;A02HG;Oysters
clinical;feces;homo sapiens;;diarrhea;False;HUMAN;Human
environmental other;fish;;;;False;A026V;Fish (meat)
environmental other;wound;;;;False;HUMAN;Human
;shrimp pond;;;;False;A0F7H#F01.A02FX;Stillwater (ponds, lakes, swamps etc)
;aquaculture pond;;;;False;A07RV;Farmed / cultivated / aquaculture
;;mussels;;;False;A02HF;Mussels
clinical;sample from sick person;homo sapiens;;;False;HUMAN;Human
environmental other;atlantic coast;;environmental;;False;WATER;Seawater
;;mussel;;;False;A02HF;Mussels
clinical;hepatopancrease;penaeus vannamei;;ahpnd;False;A02GA;White shrimp
clinical;stomach;penaeus vannamei;;ahpnd;False;A02GA;White shrimp
clinical;hemolymph;penaeus vannamei;;ahpnd;False;A02GA;White shrimp
;rotten kelp;;;;False;A00VA;Algae and prokaryotes organisms
;kiel fjord;syngnathus typhle;;;False;A09MV;Pipefishes, seahorses (generic) (live animal)
clinical;;homo sapiens;;vibriosis;False;HUMAN;Human
clinical;;mollusc;;;False;A02GM;Molluscs
;stomach;penaeus vannamei;;;False;A02GA;White shrimp
environmental other;stewed chicken;;;;False;A03VY#F04.A01SP;Meat stew
environmental other;stewed meat;;;;False;A03VY;Meat stew
environmental other;roast duck;;;;False;A01SR#F28.A07GY;Duck fresh meat
environmental other;cold noodle;;;;False;A008F;Noodle, rice
environmental other;frozen shrimp;;;;False;A02FX#F28.A07KQ;Shrimps and prawns
environmental other;plain boiled chicken;;;;False;A01SP#F28.A07GL;Chicken fresh meat
environmental other;grouper fish;;;;False;A0FAS;Groupers
environmental other;blue mussel mytilus edulis;;food;;False;A0FCY;Blue mussel 
environmental other;pacific oyster crassostrea gigas;;food;;False;A02HG;Oysters
environmental other;water;;;;False;A0C5Y;Environment
