code	name	reportParentCode	level
0ROOT	Root	R	level_0
HUMAN	Human	0ROOT	level_1
A0B6Z	Food	0ROOT	level_1
A0BB9	Feed	0ROOT	level_1
A0BYQ	Others matrices	0ROOT	level_1
A00ZS	Starchy roots and tubers	A0B6Z	level_2
A010R	Sugar plants	A0B6Z	level_2
A015E	Oilseeds and oilfruits	A0B6Z	level_2
A031E	Eggs and egg products	A0B6Z	level_2
A03JZ	Hot drinks and similar (coffee, cocoa, tea and herbal drinks)	A0B6Z	level_2
A03LZ	Alcoholic beverages	A0B6Z	level_2
A03PV	Food products for young population	A0B6Z	level_2
A03RR	Food for particular diets	A0B6Z	level_2
A03TD	Meat and dairy imitates	A0B6Z	level_2
A03VA	Composite dishes	A0B6Z	level_2
A042N	Seasoning, sauces and condiments	A0B6Z	level_2
A04PE	Confectionery including chocolate	A0B6Z	level_2
A07XJ	Garden vegetables and primary derivatives thereof	A0B6Z	level_2
A0BA7	Food simulants (Commission Regulation (EU) No 10/2011)	A0BYQ	level_2
A0BBA	Cereal grains and products derived thereof (feed)	A0BB9	level_2
A0BEB	Oil seeds, oil fruits, and products derived thereof (feed)	A0BB9	level_2
A0BG2	Legume seeds and products derived thereof (feed)	A0BB9	level_2
A0BH7	Tubers, roots, and products derived thereof (feed)	A0BB9	level_2
A0BJL	Other seeds and fruits, and products derived thereof (feed)	A0BB9	level_2
A0BKT	Forages and roughage, and products derived thereof (feed)	A0BB9	level_2
A0BLK	Other plants, algae and products derived thereof (feed)	A0BB9	level_2
A0BM9	Milk products and products derived thereof (feed)	A0BB9	level_2
A0BMY	Land animal products and products derived thereof (feed)	A0BB9	level_2
A0BNJ	Fish, other aquatic animals and products derived thereof (feed)	A0BB9	level_2
A0BP4	Minerals and products derived thereof (feed)	A0BB9	level_2
A0BRA	Fermentation (by-)products from microorganisms the cells of which have been inactivated or killed (feed)	A0BB9	level_2
A0BRR	Miscellaneous (feed)	A0BB9	level_2
A0BT0	COMPOUND FEED	A0BB9	level_2
A0BXX	Isolated purified ingredients (including mineral or synthetic)	A0B6Z	level_2
A0BXZ	Milk and milk products (dairy)	A0B6Z	level_2
ANIMA	Animals	A0BYQ	level_2
A053R	Shrimp (live animals)	ANIMA	level_3
A0QAC	Seriolina (generic)  (live animal)	ANIMA	level_3
A057X	Bird (live animals)	ANIMA	level_3
A09MV	Pipefishes, seahorses (generic) (live animal)	ANIMA	level_3
A058P	Mallard (live animals)	ANIMA	level_3
A0CHN	Otters (live animals)	ANIMA	level_3
A09JY	Parrotfishes (generic) (live animal)	ANIMA	level_3
A08TE	Dolphinfishes (generic) (live animal)	ANIMA	level_3
A0Y5S	Takifugu porphyreus (live animal)	ANIMA	level_3
A0JYJ	Danio (generic)  (live animal)	ANIMA	level_3
